"","continent","country","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","positive_rate","people_fully_vaccinated","people_fully_vaccinated_per_hundred","population","population_density","median_age","aged_65_older","gdp_per_capita","human_development_index","democ","polity2","idv","ape","rpe","rpr"
"123","Europe","Malta",37564,460,73001.609,893.961,0.008,426469,82.88,514564,1454.037,42.4,19.426,36513.323,0.895,NA,NA,59,0.742692947387695,1.10120294094086,0.955951118469238
"124","Oceania","Marshall Islands",4,NA,67.094,NA,NA,NA,NA,59618,295.15,NA,NA,3819.202,0.704,NA,NA,NA,NA,NA,NA
"125","Africa","Mauritania",36989,792,7746.209,165.86,NA,588714,12.33,4775110,4.289,20.3,3.138,3597.633,0.546,0,-2,NA,NA,NA,NA
"126","Africa","Mauritius",17143,153,13462.088,120.148,NA,834104,65.5,1273428,622.962,37.4,10.945,20292.745,0.804,10,10,NA,NA,NA,NA
"127","North America","Mexico",3784448,286496,29052.537,2199.379,0.191,53487503,41.06,130262220,66.444,29.3,6.857,17336.469,0.779,8,8,30,0.45042519569397,0.55947835445404,1.10484498739243
"128","Oceania","Micronesia (country)",1,NA,8.602,NA,NA,NA,NA,116255,150.777,23,4.81,3299.464,0.62,NA,NA,NA,NA,NA,NA
"129","Europe","Moldova",329294,7535,81831.997,1872.503,0.205,849997,21.12,4024025,123.655,37.6,10.864,5189.972,0.75,9,9,NA,NA,NA,NA
"130","Europe","Monaco",3394,36,85880.567,910.931,NA,NA,NA,39520,19347.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Asia","Mongolia",351835,1677,105678.942,503.712,0.187,2137780,64.21,3329282,1.98,28.6,4.031,11840.846,0.737,10,10,NA,NA,NA,NA
"132","Europe","Montenegro",141292,2071,224968.991,3297.503,NA,238953,38.05,628051,46.28,39.1,14.762,16409.288,0.829,9,9,NA,NA,NA,NA
"133","Africa","Morocco",944378,14621,25288.081,391.514,0.027,21449332,57.44,37344787,80.08,29.6,6.769,7485.013,0.686,1,-4,46,NA,NA,NA
"134","Africa","Mozambique",151226,1928,4701.856,59.945,0.014,1825866,5.68,32163045,37.728,17.7,3.158,1136.103,0.456,6,5,NA,NA,NA,NA
"135","Asia","Myanmar",494974,18560,9031.381,338.649,0.058,4574418,8.35,54806014,81.721,29.1,5.732,5591.597,0.583,6,4.6,NA,NA,NA,NA
"136","Africa","Namibia",128849,3550,49799.717,1372.063,0.054,232548,8.99,2587344,3.078,22,3.552,9541.808,0.646,6,6,NA,NA,NA,NA
"137","Asia","Nepal",809729,11361,27286.645,382.849,0.086,6485923,21.86,29674920,204.43,25,5.809,2442.804,0.602,6.4,6.2,NA,NA,NA,NA
"138","Europe","Netherlands",2127556,18758,123888.916,1092.29,0.066,11731427,68.31,17173094,508.544,43.2,18.779,48472.545,0.944,10,10,80,NA,NA,NA
"139","Oceania","New Caledonia",NA,NA,NA,NA,NA,150374,52.17,288217,15.342,33.4,9.954,NA,NA,NA,NA,NA,NA,NA,NA
